Verb,Priority
Add,5
Accept,5
Acquire,5
Adjust,5
Adopt,5
Advise,5
Allow,5
Announce,5
Apologize,5
Appear,5
Apply,5
Appreciate,5
Approve,5
Arrange,5
Arrive,5
Ask,5
Assure,5
Attach,5
Attempt,5
Attend,5
Avoid,5
Become,5
Begin,5
Believe,5
Belong,5
Bind,5
Blow,5
Break,5
Breed,5
Broadcast,5
Build,5
Burn,5
Calculate,5
Care,5
Change,5
Choose,5
Chop,5
Climb,5
Cling,5
Commit,5
Communicate,5
Compare,5
Compete,5
Complain,5
Concern,5
Consider,5
Consist,5
Consult,5
Contain,5
Continue,5
Convince,5
Crawl,5
Criticize,5
Cry,5
Cut,5
Dance,5
Defer,5
Delay,5
Demand,5
Describe,5
Destroy,5
Determine,5
Develop,5
Discover,5
Discuss,5
Distribute,5
Dive,5
Do,5
Dream,5
Drill,5
Drink,5
Earn,5
Emphasize,5
Enable,5
Engage,5
Enhance,5
Enjoy,5
Ensure,5
Entail,5
Enter,5
Establish,5
Examine,5
Expand,5
Expect,5
Experiment,5
Explain,5
Explore,5
Extend,5
Feed,5
Fight,5
Fold,5
Follow,5
Forget,5
Grow,5
Hang,5
Have,5
Hear,5
Hold,5
Hop,5
Hope,5
Hug,5
Identify,5
Ignore,5
Illustrate,5
Imagine,5
Imply,5
Impress,5
Improve,5
Include,5
Incorporate,5
Indicate,5
Introduce,5
Invest,5
Investigate,5
Involve,5
Jump,5
Justify,5
Keep,5
Kick,5
Kiss,5
Kneel,5
Knit,5
Know,5
Lay,5
Lead,5
Lean,5
Leap,5
Learn,5
Leave,5
Lift,5
Like,5
Lie,5
Listen,5
Look,5
Lose,5
Love,5
Maintain,5
Manage,5
Mind,5
Miss,5
Mix,5
Neglect,5
Negotiate,5
Observe,5
Occur,5
Operate,5
Organize,5
Overcome,5
Overtake,5
Own,5
Paint,5
Peel,5
Perform,5
Persuade,5
Pinch,5
Plan,5
Play,5
Point,5
Possess,5
Pour,5
Practice,5
Prefer,5
Pretend,5
Prevent,5
Proceed,5
Prove,5
Pull,5
Pursue,5
Push,5
Qualify,5
Quit,5
React,5
Read,5
Realize,5
Recommend,5
Reduce,5
Refer,5
Reflect,5
Refuse,5
Regret,5
Relate,5
Relax,5
Rely,5
Remain,5
Represent,5
Resist,5
Retain,5
Retire,5
Rid,5
Rise,5
Risk,5
Roast,5
Run,5
Sanction,5
Satisfy,5
Scrub,5
See,5
Sell,5
Serve,5
Settle,5
Sew,5
Shake,5
Shoot,5
Shrink,5
Shut,5
Sing,5
Sink,5
Sit,5
Ski,5
Slice,5
Slide,5
Slip,5
Smell,5
Solve,5
Sow,5
Speak,5
Specify,5
Spell,5
Spend,5
Spill,5
Spit,5
Spread,5
Squat,5
Stack,5
Stand,5
Start,5
Steal,5
Stick,5
Stir,5
Stretch,5
Strike,5
Study,5
Succeed,5
Suffer,5
Suggest,5
Survive,5
Sweep,5
Swell,5
Swim,5
Swing,5
Taste,5
Teach,5
Tend,5
Think,5
Threaten,5
Throw,5
Tiptoe,5
Tolerate,5
Try,5
Understand,5
Vacuum,5
Value,5
Volunteer,5
Wait,5
Walk,5
Want,5
Watch,5
Wave,5
Weep,5
Weigh,5
Whip,5
Win,5
Wish,5
Would,5
Write,5
Remember,9
Remind,9
Must,9
Awake,9
Bake,7
Bathe,7
Beg,7
Boil,7
Borrow,7
Bring,7
Carry,7
Catch,7
Celebrate,7
Claim,7
Come,7
Complete,7
Confirm,7
Consent,7
Cook,7
Deal,7
Decide,7
Deliver,7
Deny,7
Drive,7
Drop,7
Dry,7
Eat,7
Find,7
Finish,7
Fly,7
Flight,7
Freeze,7
Fry,7
Generate,7
Get,7
Give,7
Go,7
Grind,7
Hide,7
Hurry,7
Inform,7
Install,7
Iron,7
Jog,7
Lend,7
Buy,7
Make,7
Measure,7
Meet,7
Mention,7
Mow,7
Need,7
Obtain,7
Offer,7
Open,7
Order,7
Ought,7
Owe,7
Participate,7
Pay,7
Postpone,7
Prepare,7
Promise,7
Propose,7
Protect,7
Put,7
Recall,7
Receive,7
Recollect,7
Repair,7
Replace,7
Require,7
Ride,7
Ring,7
Say,7
Send,7
Set,7
Show,7
Sleep,7
Stop,7
Submit,7
Supply,7
Surprise,7
Take,7
Talk,7
Tell,7
Translate,7
Wake,7
Warn,7
Wash,7
Wear,7